 284: 2.368274, 2.294831 avg loss, 0.000007 rate, 7.005000 seconds, 18176 images
 285: 1.952493, 2.260597 avg loss, 0.000007 rate, 7.002000 seconds, 18240 images
 286: 2.372195, 2.271757 avg loss, 0.000007 rate, 7.007000 seconds, 18304 images
 287: 2.225829, 2.267164 avg loss, 0.000007 rate, 6.983000 seconds, 18368 images
 288: 2.414913, 2.281939 avg loss, 0.000007 rate, 7.042000 seconds, 18432 images
 289: 1.977485, 2.251494 avg loss, 0.000007 rate, 7.018000 seconds, 18496 images
 290: 2.316617, 2.258006 avg loss, 0.000007 rate, 7.010000 seconds, 18560 images
 291: 1.642489, 2.196454 avg loss, 0.000007 rate, 7.000000 seconds, 18624 images
 292: 1.885597, 2.165369 avg loss, 0.000007 rate, 7.011000 seconds, 18688 images
 293: 2.147582, 2.163590 avg loss, 0.000007 rate, 7.011000 seconds, 18752 images
 294: 1.873995, 2.134630 avg loss, 0.000007 rate, 6.988000 seconds, 18816 images
 295: 1.720746, 2.093242 avg loss, 0.000008 rate, 7.012000 seconds, 18880 images
 296: 1.614700, 2.045388 avg loss, 0.000008 rate, 7.012000 seconds, 18944 images
 297: 1.975862, 2.038435 avg loss, 0.000008 rate, 7.013000 seconds, 19008 images
 298: 2.258759, 2.060468 avg loss, 0.000008 rate, 7.007000 seconds, 19072 images
 299: 2.260267, 2.080448 avg loss, 0.000008 rate, 7.019000 seconds, 19136 images
 300: 1.856876, 2.058090 avg loss, 0.000008 rate, 7.020000 seconds, 19200 images
 301: 1.785869, 2.030868 avg loss, 0.000008 rate, 8.186000 seconds, 19264 images
 302: 1.649254, 1.992707 avg loss, 0.000008 rate, 8.171000 seconds, 19328 images
 303: 1.979468, 1.991383 avg loss, 0.000008 rate, 8.170000 seconds, 19392 images
 304: 2.314078, 2.023653 avg loss, 0.000009 rate, 8.185000 seconds, 19456 images
 305: 2.515042, 2.072792 avg loss, 0.000009 rate, 8.151000 seconds, 19520 images
 306: 2.025954, 2.068108 avg loss, 0.000009 rate, 8.176000 seconds, 19584 images
